frametime(nanoseconds)
359141462
358343450
359516756
358935958
360241582
358256213
359412832
359378875
358617748
358702350
359621263
358788416
359823548
359346673
358997725
358741285
359702353
358465523
359521146
358383848
359421907
358962597
359500655
359014997
359507680
358919857
359745971
359202351
359314472
358899950
