1 thread(s);16722709;16697955;16812117;17049468;16469047;17101599;16868615;16902398;16218299;16791730;16743386;16993262;16419539;16009778;17386422;15934350;16602140;16400609;15946872;16607382;15902314;16318482;15547888;15340532;20264938;16215387;16265769;16321103;16180439;15879889
2 thread(s);11785198;11773840;11383009;11231861;11253412;10323516;10100142;10302547;10548636;11136047;9889000;10505534;10609503;11184099;9797554;10444084;11482902;10249252;10241680;10138002;10384965;11862374;12300093;10684931;10378267;10596107;10508155;10104511;9827260;10101307
3 thread(s);9147238;9087245;9539234;9246257;9164129;9745715;9121901;9228782;8736313;8796306;8957357;8759903;9140540;9879972;9159470;9403812;9589325;8743302;9609129;8998711;9590781;9566609;8970170;9087536;9594276;8742429;8834749;9321685;8844068;9181021
4 thread(s);9473416;9362166;8799218;8383343;8743884;9121610;9069188;8484690;8600891;8279956;8417416;7824181;8124439;7976495;8803004;8348104;7700699;7940091;8152397;8007365;8077842;8150067;8402273;8481196;8239475;8099684;8184432;8024256;7954943;7907182
5 thread(s);8839699;9080256;8940173;8880181;8272383;8340531;7324431;7338701;8486728;8110169;7870777;7972708;8106965;7829132;8468964;8717675;8163755;8036779;7754577;8115702;7998045;8090365;7793020;8462557;7816609;7868156;7682352;7928150;7950284;8060951
6 thread(s);8746215;8776211;9122484;8327717;5769554;8595358;8261608;6048262;6174946;8310535;5931187;5796347;8316359;5890415;5859253;5585206;6027293;5914296;5822558;5874688;5585788;5791979;6241055;5870902;6072725;7923490;5576469;6197371;8321602;5752663
7 thread(s);9416626;9458271;6428025;5719463;8819896;5904394;5659178;5649568;5766059;5756158;5615785;5685389;5874397;6776918;8715927;5544434;5734607;5866825;5769555;5978949;5720919;5536570;5436970;5595399;5669662;6851182;8630305;8827759;5710726;5541521
8 thread(s);9688344;10080048;9938801;9116367;5359503;5854594;8813780;5242429;5422700;5912549;5814695;5354843;5309120;6454527;5413672;5841780;5657722;8743011;9584957;5256407;5451240;7006699;5341446;5702280;5809744;5515894;5955068;6218630;5883717;5533367
9 thread(s);9857839;9602722;9644368;6491805;5787319;5752663;5953612;5715094;5720628;5666751;5884299;5736937;8952405;6439092;5763147;5783242;6150484;5708105;5862457;5739267;5719755;5648403;5724705;5612291;5826635;6071851;8860959;6453653;6043893;5539774
10 thread(s);9581462;9650483;6638293;5744508;6136505;6134465;5882261;8659719;5840905;5736646;5622484;6008072;5787902;5975454;6053212;5813821;5737519;5701698;6051174;5748586;6089616;5686263;5946622;6038069;5737519;5815860;5993510;5830130;5797221;5685098
11 thread(s);9493220;9440798;5798387;5735771;6133300;6762066;5580837;6865744;8319855;6123107;5619280;7060285;5947787;5791979;5884591;6769347;5647238;5785572;5645781;6522966;5699368;5961183;6033409;6935930;5707522;5758197;5949826;5952156;5791688;5623066
12 thread(s);9436138;9062782;8171619;6854968;5470171;5490847;5746256;5900608;5614038;5467258;8470128;5502205;5594817;5768972;5639666;6482777;5480654;5636462;5604427;5764604;5637627;5620445;5837703;5454153;5600350;5579964;5664420;5571227;5645782;5568315
13 thread(s);9303337;8898819;5745382;7784282;5632094;5749169;7874272;5735190;5482984;6792062;5653645;7928441;5573265;5942545;5579382;5551132;8197829;5326302;5556083;5622775;5355717;5556666;5663547;5459104;5624231;5295141;5577052;5603845;5534823;5525796
14 thread(s);8800092;8066485;6111167;7748461;5009153;5295433;5379598;5691796;6329589;5417749;5224373;5414254;5274464;5357464;5572683;5424738;5364454;7980281;5440174;5317857;5190881;5678400;5289899;5496672;4994300;5399401;5379307;5422699;5343194;6329881
15 thread(s);8016684;9074431;5146032;7455193;6810993;5253786;5413089;5379015;8658263;5345524;5223207;5531620;5503079;7567608;5267765;5302421;7024755;6425987;7765935;5254078;5312323;5418914;6660718;7567316;5614038;5250001;5277085;5278250;5643452;5358047
