frametime(nanoseconds)
3125008
3085488
3059727
3090465
3066753
3088415
3067339
3080805
3085781
3066460
3090172
3071144
3073193
3072315
3072900
3080511
3080511
3097783
3081390
3088708
3113006
3056507
3127057
3064411
3295969
3178287
3133498
3134961
3144915
3174189
