frametime(nanoseconds)
69364058
69945149
57573044
73927302
74210675
70685783
72317814
69560488
74347386
72260436
85956022
71240235
56224387
71881629
69100300
71753117
69919974
82455135
79911217
79924098
69481155
69483497
66940457
68112299
75227657
70840937
68616105
72741117
81461573
73463308
