1 thread(s);16336829;16889875;16439634;16630680;16644659;16398862;16367699;16159762;17318565;16558456;16726495;15835332;16332461;15988519;16566027;16084042;16494676;15908430;16391290;16357506;17172368;16217426;16525546;16231695;16293437;15922700;16116077;15814072;16348770;15837079
2 thread(s);11595899;10533202;10522426;10758613;10639791;11051008;10506991;10907140;10576594;10173824;9667375;10174989;9865703;11955276;10658139;10509612;9807456;10092571;9624855;9911134;10458355;10410885;9883758;9786487;10055002;10213139;9845316;10519222;10202073;10185473
3 thread(s);9505451;9658055;9603595;9537778;9514187;9083168;8966384;8761650;8830089;8860377;9014438;8921244;9220337;9013272;8798637;8847854;9334499;8465469;8828050;8816401;9263148;8558662;9022883;9061908;8809995;8643993;9248004;9050841;9073848;8876104
4 thread(s);9400608;9722709;8975412;9036279;9451865;8445374;8180647;8350433;8320437;8140457;8622442;8494010;8402563;8542063;8405767;8484399;8695541;8544392;8415377;8415378;8241805;8708355;8318398;8485855;8227825;8327717;8458479;8496048;8264811;8619239
5 thread(s);8554877;8861833;8408679;8323058;7948245;8305875;7991056;7812532;8552547;8062115;7852722;7882718;7909512;8095024;8083958;8026586;7959603;7880098;8023091;8252871;7864080;7888834;8082793;7877768;8622733;8369364;8526336;7907473;7975620;7631387
6 thread(s);8999294;9137045;9044143;8345774;6036904;5879930;6087286;6151648;5842071;8182976;5698203;5905267;5902647;5544725;5853720;6151648;5814404;5988559;5679855;8778250;5626851;5974872;5639958;6040980;5775671;5784990;8583126;5544142;5754119;5629182
7 thread(s);9335372;9190923;5415710;5529873;5787028;6784491;5711017;9040648;5724414;6543061;5422118;6343859;8756699;5439591;5724996;5886628;6549760;8754369;8539733;5805376;5665003;5695582;5669663;5837411;5799260;5634423;6645574;5882843;6566942;5658305
8 thread(s);9863373;9797846;9789983;6665669;8753495;9626603;5084582;5445998;5145740;5343777;5298636;5308246;5100599;5334749;5321934;5406682;5137003;5241555;5074388;9039483;6226785;5225537;5127101;5691505;5238643;5212723;6247463;5308538;5295432;5223790
9 thread(s);10496214;10188967;8994051;6688967;5890124;6056125;9582044;5809162;5837411;5661508;5804794;6176985;5899443;5692961;5560743;5836246;6862831;5877019;5692379;5916334;5633550;5966134;5812948;5710726;5896822;5694708;5849352;5811783;8817275;5995549
10 thread(s);10294393;9722708;8607590;5795182;5402314;5762856;5801298;5593943;5599767;5845565;7427234;5844692;5873523;6019138;6284157;5802172;6887586;5822849;6076220;6206981;6036904;5681894;5629473;5588701;5606175;7355883;5528416;6048844;5611126;5453861
11 thread(s);9440506;9764937;6174655;5423573;6583542;5567149;5498420;5644326;5679564;5627435;5693543;5603553;5517640;7285406;5709270;5791979;5782660;5805375;8210060;5770137;5705775;5485314;5609378;5559287;5468714;8227244;5721793;5545308;5475994;5843236
12 thread(s);9676985;10246049;8643994;5519096;5722084;5936720;5691214;5618406;5354843;5380472;5664712;5670537;8509736;5735481;5574722;5631803;5756450;5580546;5429980;8443044;5535114;5691213;5538610;8245591;5688592;5663256;5869156;5864495;5673448;5584332
13 thread(s);9369447;9606508;5541231;5671701;5574139;5484732;5671119;5684515;5670536;5898278;5503661;5664420;5819937;5504826;5679856;5424155;8635547;5448911;5710435;5623357;5583167;5442795;5587245;7931354;5563072;5611999;5554918;8201615;5768681;5646073
14 thread(s);9332169;9542437;5171951;5368240;5480946;7521011;8062115;7864371;6663339;5447454;5282618;5111084;8050466;5301839;8150941;5299219;5313780;7702447;5520845;5162049;5487644;8407805;5432601;5431728;7978242;5222334;5226993;7520137;5349019;5538610
15 thread(s);8860376;9379348;8451198;5007988;5234274;5274173;7230363;5405808;5501040;8100558;5051673;6024381;5353387;5291355;5714803;5321061;7791272;5220295;5445998;5255825;7973873;5456774;5425321;5282327;5201365;6127184;5168165;5311450;5196414;5183308
