frametime(nanoseconds)
72609969
73138366
71361429
72014826
72158270
71697789
70549366
71798784
72024195
72040295
71884557
71580107
72529465
72659149
72692814
73391294
72460378
71972672
72134265
69680219
71418221
72230284
70954519
70928465
71638362
77498155
72011021
70543511
71908855
71743163
