frametime(nanoseconds)
3334903
3574658
3528113
3444095
3462831
3464295
3593394
3448779
3379985
3397550
3688535
3417456
3498838
3470442
3522550
3519916
3485665
3487129
3446144
3453171
3517867
3492105
3495033
3497960
3550360
3642281
3507914
3486543
4302704
3769039
