1 thread(s);280289506;303672350;294647137;288845839;288886319;259701012;318698937;297177633;319541173;300293793;299653378;294934872;301293002;285105283;274308519;297987835;335866354;277224894;301469488;290677092;297174138;311277527;313785598;325415571;287736253;292413113;279818296;276252478;261103284;286127209
2 thread(s);317477809;280518412;311849210;299436703;291168396;299970819;312835315;291782018;288365018;271837142;295304443;317002231;290708254;316376670;330806526;305150050;298334107;277753185;315763631;316429091;292173722;291243825;296089890;278280603;292282060;284921225;293594050;303511883;288064760;339269374
3 thread(s);306122758;297020952;296073872;316889525;299245656;320161493;305229265;294441820;313633285;324023783;298632617;250940236;278786760;329876047;326025405;303572750;320586979;328665404;274737209;319568549;284877832;285486502;290955799;302494034;301048078;284361190;271401754;277168686;334690658;276859400
4 thread(s);299200807;312086271;287693733;314720155;329440658;329770039;310863689;316386572;306464080;289155999;306038301;282864560;307013921;287316591;311210252;298142187;318277527;281491994;285009759;324391897;318304029;300464162;302249983;299425637;302140190;292570377;307234383;328310978;299723565;312148886
5 thread(s);287349208;332423725;290045706;327794918;293022366;301579572;316326287;290816300;335028776;324616727;323668483;332636906;330917194;318239958;284981801;327903547;302298619;333922685;335780732;310242495;301744117;273042251;285416608;284762505;306523199;282195605;277214119;317315012;283180545;287410658
6 thread(s);307854993;343807026;314047122;309930297;300921393;307473191;280224270;292454468;308750234;295392394;283538466;226643221;309614021;308180879;286314177;275099498;306145183;293450765;302559852;302591888;300520952;274815259;244666853;311933376;304836979;275209584;284779396;270297409;310727102;281122423
7 thread(s);326653298;295648676;287039049;301311059;289999983;319800659;309320171;287190780;321866061;288260466;315547247;298732801;314556192;284132866;323665862;336056527;305706882;300738209;308049535;305282851;289522948;301824206;342049163;292405832;280168646;312593885;296624588;299461749;323821378;324812143
8 thread(s);287285430;291362938;302645183;312929964;287987876;307123715;336824209;276853868;306826952;302027484;297374213;186339631;299367973;317917858;160915265;167668595;276700390;294543751;315765960;270424095;285151006;291083940;292411074;309284058;291335272;323665279;292946938;301620053;309709254;264445729
9 thread(s);296160949;277022198;320645517;323925056;278806854;303592262;238660529;302947479;305540299;282955424;281789048;315742371;314428634;326668441;309484133;324076787;303326951;323927969;313899469;316126212;319806774;296353744;303779814;306821710;263821623;287514918;279957504;289875045;271124502;261191818
10 thread(s);290577782;269363436;324395101;333988504;314018290;298296538;292963246;312662033;316483842;298220527;306480971;310333068;330213291;307359029;301381827;294145057;305951515;296176385;281224645;271827532;293036928;291658827;286552404;297782809;324375880;320381080;344180384;320293711;278655123;318470613
11 thread(s);284371383;293171475;293728307;285508053;323095051;290267332;321261759;318378584;289037176;289241911;282226476;306284099;280417356;272432998;284290131;331440534;271380785;305572334;298164902;324441989;284524861;290751938;307896639;287618596;329234759;285576493;283599333;288208336;310102414;276084438
12 thread(s);303259386;321113232;313797829;311643311;323062434;310708754;313559312;297371010;300086146;312659703;261361314;300940614;285808020;327478643;313045000;339459838;320557274;291710375;312637861;319044626;306221485;269671557;313687453;311654087;311348877;304089391;161989321;276753685;168509375;308264171
13 thread(s);338269000;281362396;285537468;269486625;307889940;327873841;279643849;310724481;316240956;286818588;282747485;297972399;323338228;286011881;308682086;297826202;314829948;299690073;317852331;287564719;292643475;327470197;294681793;291263046;296472275;293673556;284933748;287995739;301542587;334238670
14 thread(s);282660699;310529939;289443733;295870593;293755100;330565096;310664196;211005925;296630121;292261965;290663696;271745696;292647553;289862813;318889400;277592135;274203675;306508056;290998027;299350499;306421851;320802198;320693278;316839434;312201017;286248943;293450473;294809352;322066136;315388818
15 thread(s);274060391;299006848;308432794;320071794;317342679;295237169;290737667;292958586;300331070;264153334;326675430;326854245;334894228;269450222;274286093;289380537;293370386;270696686;266394348;314879457;292751231;299800449;317526445;303745449;321283311;277433997;299001898;313146057;305996655;201054019
