id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;14690799;0;atigpu;0;Clock;1;150
0;14690799;0;amdcpu;0;Clock;2;1406.449
0;14690799;0;ram;N/A;Load;0;36.30758
0;14690799;0;amdcpu;0;Clock;3;1406.449
0;14690799;0;amdcpu;0;Load;2;1.5625
0;14690799;0;ram;N/A;Data;0;2.891796
0;14690799;0;lpc;it8728f;Voltage;7;3.264
0;14690799;0;lpc;it8728f;Voltage;8;3.264
0;14690799;0;hdd;0;Temperature;0;34
0;14690799;0;amdcpu;0;Load;7;0
0;14690799;0;lpc;it8728f;Control;0;0
0;14690799;0;amdcpu;0;Load;8;3.125
0;14690799;0;amdcpu;0;Clock;8;3717.044
0;14690799;0;amdcpu;0;Clock;4;2913.359
0;14690799;0;amdcpu;0;Load;3;0
0;14690799;0;amdcpu;0;Clock;5;3717.044
0;14690799;0;amdcpu;0;Load;4;0
0;14690799;0;hdd;0;Load;0;36.18281
0;14690799;0;atigpu;0;Temperature;0;60
0;14690799;0;amdcpu;0;Load;0;0.5859375
0;14690799;0;lpc;it8728f;Control;2;0
0;14690799;0;amdcpu;0;Clock;1;1406.449
0;14690799;0;amdcpu;0;Clock;0;200.9213
0;14690799;0;atigpu;0;Voltage;0;0.95
0;14690799;0;lpc;it8728f;Temperature;2;22
0;14690799;0;lpc;it8728f;Control;1;0
0;14690799;0;lpc;it8728f;Voltage;5;1.212
0;14690799;0;ram;N/A;Data;1;5.072922
0;14690799;0;lpc;it8728f;Voltage;1;1.452
0;14690799;0;lpc;it8728f;Voltage;3;1.992
0;14690799;0;lpc;it8728f;Voltage;2;2.016
0;14690799;0;atigpu;0;Control;0;41
0;14690799;0;atigpu;0;Clock;0;300
0;14690799;0;atigpu;0;Load;0;15
0;14690799;0;amdcpu;0;Load;1;0
0;14690799;0;lpc;it8728f;Temperature;0;34
0;14690799;0;lpc;it8728f;Temperature;1;42
0;14690799;0;lpc;it8728f;Fan;0;4411.765
0;14690799;0;lpc;it8728f;Fan;2;975.4335
0;14690799;0;amdcpu;0;Clock;6;3717.044
0;14690799;0;amdcpu;0;Temperature;0;22.875
0;14690799;0;lpc;it8728f;Voltage;6;2.232
0;14690799;0;amdcpu;0;Load;5;0
0;14690799;0;amdcpu;0;Clock;7;3717.044
0;14690799;0;amdcpu;0;Load;6;0
0;14690799;0;lpc;it8728f;Voltage;0;0.924
0;14690799;0;atigpu;0;Fan;0;1934
0;14690799;0;lpc;it8728f;Voltage;4;1.98
1;1625530548;2;atigpu;0;Clock;1;1250
1;1625530548;2;amdcpu;0;Clock;2;4018.427
1;1625530548;2;ram;N/A;Load;0;36.75161
1;1625530548;2;amdcpu;0;Clock;3;4018.427
1;1625530548;2;amdcpu;0;Load;2;18.75
1;1625530548;2;ram;N/A;Data;0;2.927162
1;1625530548;2;lpc;it8728f;Voltage;7;3.264
1;1625530548;2;lpc;it8728f;Voltage;8;3.264
1;1625530548;2;hdd;0;Temperature;0;34
1;1625530548;2;amdcpu;0;Load;7;0
1;1625530548;2;lpc;it8728f;Control;0;0
1;1625530548;2;amdcpu;0;Load;8;0
1;1625530548;2;amdcpu;0;Clock;8;4018.427
1;1625530548;2;amdcpu;0;Clock;4;4018.427
1;1625530548;2;amdcpu;0;Load;3;3.125
1;1625530548;2;amdcpu;0;Clock;5;4018.427
1;1625530548;2;amdcpu;0;Load;4;0
1;1625530548;2;hdd;0;Load;0;36.18281
1;1625530548;2;atigpu;0;Temperature;0;63
1;1625530548;2;amdcpu;0;Load;0;12.5
1;1625530548;2;lpc;it8728f;Control;2;0
1;1625530548;2;amdcpu;0;Clock;1;4018.427
1;1625530548;2;amdcpu;0;Clock;0;200.9213
1;1625530548;2;atigpu;0;Voltage;0;1.169
1;1625530548;2;lpc;it8728f;Temperature;2;34
1;1625530548;2;lpc;it8728f;Control;1;0
1;1625530548;2;lpc;it8728f;Voltage;5;1.212
1;1625530548;2;ram;N/A;Data;1;5.037556
1;1625530548;2;lpc;it8728f;Voltage;1;1.452
1;1625530548;2;lpc;it8728f;Voltage;3;1.992
1;1625530548;2;lpc;it8728f;Voltage;2;2.016
1;1625530548;2;atigpu;0;Control;0;44
1;1625530548;2;atigpu;0;Clock;0;940
1;1625530548;2;atigpu;0;Load;0;64
1;1625530548;2;amdcpu;0;Load;1;53.125
1;1625530548;2;lpc;it8728f;Temperature;0;34
1;1625530548;2;lpc;it8728f;Temperature;1;43
1;1625530548;2;lpc;it8728f;Fan;0;4821.429
1;1625530548;2;lpc;it8728f;Fan;2;967.0487
1;1625530548;2;amdcpu;0;Clock;6;4018.427
1;1625530548;2;amdcpu;0;Temperature;0;34.125
1;1625530548;2;lpc;it8728f;Voltage;6;2.232
1;1625530548;2;amdcpu;0;Load;5;3.125
1;1625530548;2;amdcpu;0;Clock;7;4018.427
1;1625530548;2;amdcpu;0;Load;6;21.875
1;1625530548;2;lpc;it8728f;Voltage;0;0.924
1;1625530548;2;atigpu;0;Fan;0;1926
1;1625530548;2;lpc;it8728f;Voltage;4;1.98
2;2420836447;1;atigpu;0;Clock;1;1250
2;2420836447;1;amdcpu;0;Clock;2;4018.427
2;2420836447;1;ram;N/A;Load;0;36.75377
2;2420836447;1;amdcpu;0;Clock;3;4018.427
2;2420836447;1;amdcpu;0;Load;2;37.5
2;2420836447;1;ram;N/A;Data;0;2.927334
2;2420836447;1;lpc;it8728f;Voltage;7;3.264
2;2420836447;1;lpc;it8728f;Voltage;8;3.264
2;2420836447;1;hdd;0;Temperature;0;34
2;2420836447;1;amdcpu;0;Load;7;0
2;2420836447;1;lpc;it8728f;Control;0;0
2;2420836447;1;amdcpu;0;Load;8;0
2;2420836447;1;amdcpu;0;Clock;8;4018.427
2;2420836447;1;amdcpu;0;Clock;4;4018.427
2;2420836447;1;amdcpu;0;Load;3;7.8125
2;2420836447;1;amdcpu;0;Clock;5;4018.427
2;2420836447;1;amdcpu;0;Load;4;14.0625
2;2420836447;1;hdd;0;Load;0;36.18281
2;2420836447;1;atigpu;0;Temperature;0;63
2;2420836447;1;amdcpu;0;Load;0;13.67188
2;2420836447;1;lpc;it8728f;Control;2;0
2;2420836447;1;amdcpu;0;Clock;1;4018.427
2;2420836447;1;amdcpu;0;Clock;0;200.9213
2;2420836447;1;atigpu;0;Voltage;0;1.169
2;2420836447;1;lpc;it8728f;Temperature;2;36
2;2420836447;1;lpc;it8728f;Control;1;0
2;2420836447;1;lpc;it8728f;Voltage;5;1.236
2;2420836447;1;ram;N/A;Data;1;5.037384
2;2420836447;1;lpc;it8728f;Voltage;1;1.452
2;2420836447;1;lpc;it8728f;Voltage;3;2.004
2;2420836447;1;lpc;it8728f;Voltage;2;1.932
2;2420836447;1;atigpu;0;Control;0;44
2;2420836447;1;atigpu;0;Clock;0;940
2;2420836447;1;atigpu;0;Load;0;64
2;2420836447;1;amdcpu;0;Load;1;50
2;2420836447;1;lpc;it8728f;Temperature;0;34
2;2420836447;1;lpc;it8728f;Temperature;1;44
2;2420836447;1;lpc;it8728f;Fan;0;4963.235
2;2420836447;1;lpc;it8728f;Fan;2;965.6652
2;2420836447;1;amdcpu;0;Clock;6;4018.427
2;2420836447;1;amdcpu;0;Temperature;0;36.125
2;2420836447;1;lpc;it8728f;Voltage;6;2.232
2;2420836447;1;amdcpu;0;Load;5;0
2;2420836447;1;amdcpu;0;Clock;7;4018.427
2;2420836447;1;amdcpu;0;Load;6;0
2;2420836447;1;lpc;it8728f;Voltage;0;1.416
2;2420836447;1;atigpu;0;Fan;0;1976
2;2420836447;1;lpc;it8728f;Voltage;4;1.956
3;3216816252;1;atigpu;0;Clock;1;1250
3;3216816252;1;amdcpu;0;Clock;2;4018.426
3;3216816252;1;ram;N/A;Load;0;36.75362
3;3216816252;1;amdcpu;0;Clock;3;4018.426
3;3216816252;1;amdcpu;0;Load;2;25
3;3216816252;1;ram;N/A;Data;0;2.927322
3;3216816252;1;lpc;it8728f;Voltage;7;3.264
3;3216816252;1;lpc;it8728f;Voltage;8;3.264
3;3216816252;1;hdd;0;Temperature;0;34
3;3216816252;1;amdcpu;0;Load;7;0
3;3216816252;1;lpc;it8728f;Control;0;0
3;3216816252;1;amdcpu;0;Load;8;1.5625
3;3216816252;1;amdcpu;0;Clock;8;1406.449
3;3216816252;1;amdcpu;0;Clock;4;4018.426
3;3216816252;1;amdcpu;0;Load;3;12.5
3;3216816252;1;amdcpu;0;Clock;5;4018.426
3;3216816252;1;amdcpu;0;Load;4;6.25
3;3216816252;1;hdd;0;Load;0;36.18281
3;3216816252;1;atigpu;0;Temperature;0;63
3;3216816252;1;amdcpu;0;Load;0;13.08594
3;3216816252;1;lpc;it8728f;Control;2;0
3;3216816252;1;amdcpu;0;Clock;1;4018.426
3;3216816252;1;amdcpu;0;Clock;0;200.9213
3;3216816252;1;atigpu;0;Voltage;0;1.169
3;3216816252;1;lpc;it8728f;Temperature;2;36
3;3216816252;1;lpc;it8728f;Control;1;0
3;3216816252;1;lpc;it8728f;Voltage;5;1.236
3;3216816252;1;ram;N/A;Data;1;5.037395
3;3216816252;1;lpc;it8728f;Voltage;1;1.452
3;3216816252;1;lpc;it8728f;Voltage;3;2.004
3;3216816252;1;lpc;it8728f;Voltage;2;1.932
3;3216816252;1;atigpu;0;Control;0;44
3;3216816252;1;atigpu;0;Clock;0;940
3;3216816252;1;atigpu;0;Load;0;64
3;3216816252;1;amdcpu;0;Load;1;59.375
3;3216816252;1;lpc;it8728f;Temperature;0;34
3;3216816252;1;lpc;it8728f;Temperature;1;44
3;3216816252;1;lpc;it8728f;Fan;0;5113.636
3;3216816252;1;lpc;it8728f;Fan;2;960.1707
3;3216816252;1;amdcpu;0;Clock;6;4018.426
3;3216816252;1;amdcpu;0;Temperature;0;36.25
3;3216816252;1;lpc;it8728f;Voltage;6;2.232
3;3216816252;1;amdcpu;0;Load;5;0
3;3216816252;1;amdcpu;0;Clock;7;4018.426
3;3216816252;1;amdcpu;0;Load;6;0
3;3216816252;1;lpc;it8728f;Voltage;0;1.404
3;3216816252;1;atigpu;0;Fan;0;1990
3;3216816252;1;lpc;it8728f;Voltage;4;1.956
4;4011679773;1;atigpu;0;Clock;1;1250
4;4011679773;1;amdcpu;0;Clock;2;4018.427
4;4011679773;1;ram;N/A;Load;0;36.75271
4;4011679773;1;amdcpu;0;Clock;3;4018.427
4;4011679773;1;amdcpu;0;Load;2;32.8125
4;4011679773;1;ram;N/A;Data;0;2.92725
4;4011679773;1;lpc;it8728f;Voltage;7;3.264
4;4011679773;1;lpc;it8728f;Voltage;8;3.264
4;4011679773;1;hdd;0;Temperature;0;34
4;4011679773;1;amdcpu;0;Load;7;0
4;4011679773;1;lpc;it8728f;Control;0;0
4;4011679773;1;amdcpu;0;Load;8;0
4;4011679773;1;amdcpu;0;Clock;8;4018.427
4;4011679773;1;amdcpu;0;Clock;4;4018.427
4;4011679773;1;amdcpu;0;Load;3;3.125
4;4011679773;1;amdcpu;0;Clock;5;4018.427
4;4011679773;1;amdcpu;0;Load;4;0
4;4011679773;1;hdd;0;Load;0;36.18281
4;4011679773;1;atigpu;0;Temperature;0;64
4;4011679773;1;amdcpu;0;Load;0;12.5
4;4011679773;1;lpc;it8728f;Control;2;0
4;4011679773;1;amdcpu;0;Clock;1;4018.427
4;4011679773;1;amdcpu;0;Clock;0;200.9214
4;4011679773;1;atigpu;0;Voltage;0;1.169
4;4011679773;1;lpc;it8728f;Temperature;2;36
4;4011679773;1;lpc;it8728f;Control;1;0
4;4011679773;1;lpc;it8728f;Voltage;5;1.236
4;4011679773;1;ram;N/A;Data;1;5.037468
4;4011679773;1;lpc;it8728f;Voltage;1;1.452
4;4011679773;1;lpc;it8728f;Voltage;3;2.004
4;4011679773;1;lpc;it8728f;Voltage;2;1.932
4;4011679773;1;atigpu;0;Control;0;45
4;4011679773;1;atigpu;0;Clock;0;940
4;4011679773;1;atigpu;0;Load;0;64
4;4011679773;1;amdcpu;0;Load;1;64.0625
4;4011679773;1;lpc;it8728f;Temperature;0;34
4;4011679773;1;lpc;it8728f;Temperature;1;45
4;4011679773;1;lpc;it8728f;Fan;0;5113.636
4;4011679773;1;lpc;it8728f;Fan;2;957.4468
4;4011679773;1;amdcpu;0;Clock;6;4018.427
4;4011679773;1;amdcpu;0;Temperature;0;36.625
4;4011679773;1;lpc;it8728f;Voltage;6;2.232
4;4011679773;1;amdcpu;0;Load;5;0
4;4011679773;1;amdcpu;0;Clock;7;4018.427
4;4011679773;1;amdcpu;0;Load;6;0
4;4011679773;1;lpc;it8728f;Voltage;0;1.404
4;4011679773;1;atigpu;0;Fan;0;2014
4;4011679773;1;lpc;it8728f;Voltage;4;1.956
5;5590251256;2;atigpu;0;Clock;1;1250
5;5590251256;2;amdcpu;0;Clock;2;4018.426
5;5590251256;2;ram;N/A;Load;0;36.75281
5;5590251256;2;amdcpu;0;Clock;3;4018.426
5;5590251256;2;amdcpu;0;Load;2;25
5;5590251256;2;ram;N/A;Data;0;2.927258
5;5590251256;2;lpc;it8728f;Voltage;7;3.264
5;5590251256;2;lpc;it8728f;Voltage;8;3.264
5;5590251256;2;hdd;0;Temperature;0;34
5;5590251256;2;amdcpu;0;Load;7;0
5;5590251256;2;lpc;it8728f;Control;0;0
5;5590251256;2;amdcpu;0;Load;8;0
5;5590251256;2;amdcpu;0;Clock;8;1406.449
5;5590251256;2;amdcpu;0;Clock;4;4018.426
5;5590251256;2;amdcpu;0;Load;3;4.615384
5;5590251256;2;amdcpu;0;Clock;5;1406.449
5;5590251256;2;amdcpu;0;Load;4;4.615384
5;5590251256;2;hdd;0;Load;0;36.18281
5;5590251256;2;atigpu;0;Temperature;0;64
5;5590251256;2;amdcpu;0;Load;0;12.48197
5;5590251256;2;lpc;it8728f;Control;2;0
5;5590251256;2;amdcpu;0;Clock;1;4018.426
5;5590251256;2;amdcpu;0;Clock;0;200.9213
5;5590251256;2;atigpu;0;Voltage;0;1.169
5;5590251256;2;lpc;it8728f;Temperature;2;36
5;5590251256;2;lpc;it8728f;Control;1;0
5;5590251256;2;lpc;it8728f;Voltage;5;1.224
5;5590251256;2;ram;N/A;Data;1;5.03746
5;5590251256;2;lpc;it8728f;Voltage;1;1.452
5;5590251256;2;lpc;it8728f;Voltage;3;2.004
5;5590251256;2;lpc;it8728f;Voltage;2;1.932
5;5590251256;2;atigpu;0;Control;0;45
5;5590251256;2;atigpu;0;Clock;0;940
5;5590251256;2;atigpu;0;Load;0;64
5;5590251256;2;amdcpu;0;Load;1;65.625
5;5590251256;2;lpc;it8728f;Temperature;0;34
5;5590251256;2;lpc;it8728f;Temperature;1;44
5;5590251256;2;lpc;it8728f;Fan;0;5113.636
5;5590251256;2;lpc;it8728f;Fan;2;957.4468
5;5590251256;2;amdcpu;0;Clock;6;1406.449
5;5590251256;2;amdcpu;0;Temperature;0;36.75
5;5590251256;2;lpc;it8728f;Voltage;6;2.232
5;5590251256;2;amdcpu;0;Load;5;0
5;5590251256;2;amdcpu;0;Clock;7;3717.044
5;5590251256;2;amdcpu;0;Load;6;0
5;5590251256;2;lpc;it8728f;Voltage;0;1.416
5;5590251256;2;atigpu;0;Fan;0;2026
5;5590251256;2;lpc;it8728f;Voltage;4;1.956
6;6387659544;1;atigpu;0;Clock;1;1250
6;6387659544;1;amdcpu;0;Clock;2;4018.427
6;6387659544;1;ram;N/A;Load;0;36.75224
6;6387659544;1;amdcpu;0;Clock;3;4018.427
6;6387659544;1;amdcpu;0;Load;2;37.5
6;6387659544;1;ram;N/A;Data;0;2.927212
6;6387659544;1;lpc;it8728f;Voltage;7;3.264
6;6387659544;1;lpc;it8728f;Voltage;8;3.264
6;6387659544;1;hdd;0;Temperature;0;34
6;6387659544;1;amdcpu;0;Load;7;0
6;6387659544;1;lpc;it8728f;Control;0;0
6;6387659544;1;amdcpu;0;Load;8;0
6;6387659544;1;amdcpu;0;Clock;8;4018.427
6;6387659544;1;amdcpu;0;Clock;4;4018.427
6;6387659544;1;amdcpu;0;Load;3;0
6;6387659544;1;amdcpu;0;Clock;5;4018.427
6;6387659544;1;amdcpu;0;Load;4;0
6;6387659544;1;hdd;0;Load;0;36.18281
6;6387659544;1;atigpu;0;Temperature;0;64
6;6387659544;1;amdcpu;0;Load;0;12.5
6;6387659544;1;lpc;it8728f;Control;2;0
6;6387659544;1;amdcpu;0;Clock;1;4018.427
6;6387659544;1;amdcpu;0;Clock;0;200.9213
6;6387659544;1;atigpu;0;Voltage;0;1.169
6;6387659544;1;lpc;it8728f;Temperature;2;37
6;6387659544;1;lpc;it8728f;Control;1;0
6;6387659544;1;lpc;it8728f;Voltage;5;1.224
6;6387659544;1;ram;N/A;Data;1;5.037506
6;6387659544;1;lpc;it8728f;Voltage;1;1.452
6;6387659544;1;lpc;it8728f;Voltage;3;2.004
6;6387659544;1;lpc;it8728f;Voltage;2;1.932
6;6387659544;1;atigpu;0;Control;0;45
6;6387659544;1;atigpu;0;Clock;0;940
6;6387659544;1;atigpu;0;Load;0;94
6;6387659544;1;amdcpu;0;Load;1;62.5
6;6387659544;1;lpc;it8728f;Temperature;0;34
6;6387659544;1;lpc;it8728f;Temperature;1;44
6;6387659544;1;lpc;it8728f;Fan;0;5075.188
6;6387659544;1;lpc;it8728f;Fan;2;956.0906
6;6387659544;1;amdcpu;0;Clock;6;4018.427
6;6387659544;1;amdcpu;0;Temperature;0;37.125
6;6387659544;1;lpc;it8728f;Voltage;6;2.232
6;6387659544;1;amdcpu;0;Load;5;0
6;6387659544;1;amdcpu;0;Clock;7;4018.427
6;6387659544;1;amdcpu;0;Load;6;0
6;6387659544;1;lpc;it8728f;Voltage;0;1.416
6;6387659544;1;atigpu;0;Fan;0;2030
6;6387659544;1;lpc;it8728f;Voltage;4;1.956
7;7184132692;1;atigpu;0;Clock;1;1250
7;7184132692;1;amdcpu;0;Clock;2;4018.427
7;7184132692;1;ram;N/A;Load;0;36.75285
7;7184132692;1;amdcpu;0;Clock;3;4018.427
7;7184132692;1;amdcpu;0;Load;2;51.5625
7;7184132692;1;ram;N/A;Data;0;2.927261
