1;thread(s);15726622;13929486;13384110;11804481;17520538;11517302;10987441;10363611;10431234;10429477;10300378;10183574;10254711;10151958;10267006;10457873;10776375;10269641;10311502;10231584;10726023;10510273;10449383;10541305;10143176;10817359;10391128;10617417;10429185;10146690;11135694,7666667
2;thread(s);7931227;7769927;8422446;7839306;7896976;7494750;8129998;7820571;7589013;7662784;8077012;7284563;7612139;8103066;7900489;7844283;7860969;7603650;7929471;7611554;8099261;7584914;7816472;7726016;7207864;8447622;7914833;7710208;7756168;7814716;7815408,93333333
3;thread(s);6962255;6932688;6718694;6785440;6915709;6678882;6799198;6655170;6419221;6903999;6906634;6692640;6884093;6399315;6649022;6826130;6647266;6467523;6441468;6423611;6518168;7053883;6489771;7193520;6864187;6775486;6718109;7336084;6899316;6449958;6746914,66666667
4;thread(s);6939714;6957571;6862431;7144047;6611552;6605989;6882922;6840475;7353649;6920393;6762899;6736844;6974550;6827887;7026365;7015241;6808566;7120335;7379411;7422151;6549491;6613601;6755873;6757336;7191179;6748847;6744749;6954936;7025780;6403413;6897939,9
5;thread(s);6901950;6831693;6642582;7100722;7083742;7000604;6896096;6828179;6807102;6966060;6457570;6973379;7223087;8562083;6436785;6531633;6899315;6782219;6867992;7053590;7389949;7075838;7045979;7139363;7153415;6915710;6722793;6944105;6500895;7169515;6963464,83333333
6;thread(s);6634385;6918929;6235379;5557684;6087838;5626478;5974548;5978939;5629113;6035438;5600132;6539244;5471911;5507625;5772848;5490647;5483329;5744160;5610378;5613012;5491818;5719570;5825249;5795390;5839008;5648727;5812954;5564417;5721034;5799196;5824312,66666667
7;thread(s);7949963;6432979;6310907;6347792;5903411;6319982;6274314;7069398;6109793;6147265;6162487;6218400;6199080;6221621;6416879;5674781;6343108;6110086;6237721;6285439;6228940;6260848;6220742;6207277;5790414;6303003;6145801;6290122;5746795;6167756;6269903,46666667
8;thread(s);6630872;6349548;5725718;6254701;5844863;5655167;6201714;6010262;5980110;5554171;5610964;5555050;6095157;5625308;5560904;5545097;5657802;5493281;6202007;5669805;5470447;5492111;5790999;5462251;6448202;5521384;5520506;6959620;5626479;5680929;5839847,63333333
9;thread(s);7174492;6227183;5550951;5877943;6016410;5911315;5985379;5886432;7141998;7161026;7132045;7887315;8044811;6054758;6205813;6150778;6147850;5577298;6455228;5867697;6065297;5848376;5543926;5965472;5849254;6040707;7009972;5962545;6567055;6110672;6313999,93333333
10;thread(s);6471328;6128236;5446736;5305049;5352766;5379990;5756748;6281047;5221325;5528410;5564124;5389359;5093105;5026067;5819102;5198785;5498844;5266115;5245330;5537485;5310318;5524898;6527828;5719863;5231279;5210786;5424780;5522556;5268749;5246793;5516593,36666667
11;thread(s);5922146;5747381;5547438;5205517;5327298;5671268;4999721;5181220;5155752;5192344;5557977;5507333;5359792;5147847;5390236;5492404;5403117;5140822;5618868;5297145;5390236;5336372;5270798;5139065;6253823;5421560;5329639;5393456;5338129;5229230;5398931,13333333
12;thread(s);5502064;5439125;5859500;5519628;5334323;5625600;5941175;5464885;5286606;5439124;5695273;7186201;5537192;5340470;5554172;5585788;5514066;5501479;5474546;5490354;6158096;5679465;5239183;6929761;5722205;5750308;5413364;5554171;5361841;5758798;5661958,76666667
13;thread(s);5516408;5164533;5584909;5042754;4685316;4913655;5723376;4871207;4603935;4825832;4699368;4629403;4793924;4632330;5089007;4967519;4721617;4908971;4754111;4639357;4653994;5746210;4784849;4888187;4720739;4667460;4804462;5245623;4975716;5187660;4948081,06666667
14;thread(s);5270213;5164240;4954932;5928880;5912486;4802120;5133211;5347204;4659555;5207273;4996793;4726594;5825835;5212836;5055049;5320565;5073784;5190880;4617109;4792460;4968105;4983619;5214007;5253234;4536897;4992987;4771968;5003818;5153117;5036898;5103555,63333333
15;thread(s);4780457;5531924;5260260;5052414;5791877;5277532;5304463;5179171;5161606;5441759;5515530;4940294;5397263;4911605;4981278;5236255;5114768;5379113;5078760;5238597;4853058;4938830;5549195;4915118;5321150;5851597;5339007;5169803;5197320;4883209;5219773,76666667
